MM,DD,Week
01,01,6
01,02,7
01,03,1
01,04,2
01,05,3
01,06,4
01,07,5
01,08,6
01,09,7
01,10,1
01,11,2
01,12,3
01,13,4
01,14,5
01,15,6
01,16,7
01,17,1
01,18,2
01,19,3
01,20,4
01,21,5
01,22,6
01,23,7
01,24,1
01,25,2
01,26,3
01,27,4
01,28,5
01,29,6
01,30,7
01,31,1
02,01,2
02,02,3
02,03,4
02,04,5
02,05,6
02,06,7
02,07,1
02,08,2
02,09,3
02,10,4
02,11,5
02,12,6
02,13,7
02,14,1
02,15,2
02,16,3
02,17,4
02,18,5
02,19,6
02,20,7
02,21,1
02,22,2
02,23,3
02,24,4
02,25,5
02,26,6
02,27,7
02,28,1
03,01,2
03,02,3
03,03,4
03,04,5
03,05,6
03,06,7
03,07,1
03,08,2
03,09,3
03,10,4
03,11,5
03,12,6
03,13,7
03,14,1
03,15,2
03,16,3
03,17,4
03,18,5
03,19,6
03,20,7
03,21,1
03,22,2
03,23,3
03,24,4
03,25,5
03,26,6
03,27,7
03,28,1
03,29,2
03,30,3
03,31,4
04,01,5
04,02,6
04,03,7
04,04,1
04,05,2
04,06,3
04,07,4
04,08,5
04,09,6
04,10,7
04,11,1
04,12,2
04,13,3
04,14,4
04,15,5
04,16,6
04,17,7
04,18,1
04,19,2
04,20,3
04,21,4
04,22,5
04,23,6
04,24,7
04,25,1
04,26,2
04,27,3
04,28,4
04,29,5
04,30,6
05,01,7
05,02,1
05,03,2
05,04,3
05,05,4
05,06,5
05,07,6
05,08,7
05,09,1
05,10,2
05,11,3
05,12,4
05,13,5
05,14,6
05,15,7
05,16,1
05,17,2
05,18,3
05,19,4
05,20,5
05,21,6
05,22,7
05,23,1
05,24,2
05,25,3
05,26,4
05,27,5
05,28,6
05,29,7
05,30,1
05,31,2
06,01,3
06,02,4
06,03,5
06,04,6
06,05,7
06,06,1
06,07,2
06,08,3
06,09,4
06,10,5
06,11,6
06,12,7
06,13,1
06,14,2
06,15,3
06,16,4
06,17,5
06,18,6
06,19,7
06,20,1
06,21,2
06,22,3
06,23,4
06,24,5
06,25,6
06,26,7
06,27,1
06,28,2
06,29,3
06,30,4
07,01,5
07,02,6
07,03,7
07,04,1
07,05,2
07,06,3
07,07,4
07,08,5
07,09,6
07,10,7
07,11,1
07,12,2
07,13,3
07,14,4
07,15,5
07,16,6
07,17,7
07,18,1
07,19,2
07,20,3
07,21,4
07,22,5
07,23,6
07,24,7
07,25,1
07,26,2
07,27,3
07,28,4
07,29,5
07,30,6
07,31,7
08,01,1
08,02,2
08,03,3
08,04,4
08,05,5
08,06,6
08,07,7
08,08,1
08,09,2
08,10,3
08,11,4
08,12,5
08,13,6
08,14,7
08,15,1
08,16,2
08,17,3
08,18,4
08,19,5
08,20,6
08,21,7
08,22,1
08,23,2
08,24,3
08,25,4
08,26,5
08,27,6
08,28,7
08,29,1
08,30,2
08,31,3
09,01,4
09,02,5
09,03,6
09,04,7
09,05,1
09,06,2
09,07,3
09,08,4
09,09,5
09,10,6
09,11,7
09,12,1
09,13,2
09,14,3
09,15,4
09,16,5
09,17,6
09,18,7
09,19,1
09,20,2
09,21,3
09,22,4
09,23,5
09,24,6
09,25,7
09,26,1
09,27,2
09,28,3
09,29,4
09,30,5
10,01,6
10,02,7
10,03,1
10,04,2
10,05,3
10,06,4
10,07,5
10,08,6
10,09,7
10,10,1
10,11,2
10,12,3
10,13,4
10,14,5
10,15,6
10,16,7
10,17,1
10,18,2
10,19,3
10,20,4
10,21,5
10,22,6
10,23,7
10,24,1
10,25,2
10,26,3
10,27,4
10,28,5
10,29,6
10,30,7
10,31,1
11,01,2
11,02,3
11,03,4
11,04,5
11,05,6
11,06,7
11,07,1
11,08,2
11,09,3
11,10,4
11,11,5
11,12,6
11,13,7
11,14,1
11,15,2
11,16,3
11,17,4
11,18,5
11,19,6
11,20,7
11,21,1
11,22,2
11,23,3
11,24,4
11,25,5
11,26,6
11,27,7
11,28,1
11,29,2
11,30,3
12,01,4
12,02,5
12,03,6
12,04,7
12,05,1
12,06,2
12,07,3
12,08,4
12,09,5
12,10,6
12,11,7
12,12,1
12,13,2
12,14,3
12,15,4
12,16,5
12,17,6
12,18,7
12,19,1
12,20,2
12,21,3
12,22,4
12,23,5
12,24,6
12,25,7
12,26,1
12,27,2
12,28,3
12,29,4
12,30,5
12,31,6
